# deck: Portuguese::Frequency Master
# notetype: Portuguese (EP) – Frequency
# separator: Tab
Rank	Lemma_PT	POS	Gloss_EN	Variety	Register_Flags	Range_Blocks	Raw_Freq	Example_PT	Example_EN	Freq_Band	Thematic_Source	Tags
4541	sumário	nm	brief, summary [BP] 36 | 290+n	EP				o sumário do caso foi apresentado ao juiz	The briefs from the case were given to the	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4542	politécnico	na	polytechnic	EP				em 1982 ele licenciou-se pelo departamento		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::na
4543	nulo	aj	void, null	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4544	protestante	na	protestant 36 | 214	EP				os Baptistas do Sul é a maior igreja protestante norte-americana	The Southern	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::na
4545	autárquico	aj	non-governmental [EP] 38 | 272+a -f -s	EP				o poder autárquico tem estado nas mãos de uma pequena oligarquia [EP]	The	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4546	interrogação	nf	question, interrogation	EP				essas interrogações eram tão inteligentes		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4547	terapia	nf	therapy, treatment	EP				a terapia consiste em infusão de líquidos		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4548	temperamento	nm	temperament	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4549	arbitragem	nf	arbitration	EP				a arbitragem é preferível ao conflito como		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4550	falecido	aj	deceased	EP				por determinação do falecido monarca,		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4551	furioso	aj	sharp, furious	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4552	proteína	nf	protein	EP				ele sentiu pela espinha um arrepio, e o • a ingestão excessiva de glúcidos, proteínas e coração encolher-se	He felt a shiver go up lípidos está associada à arterosclerose – The his spine and his heart tightening. excessive ingestion of sugars, proteins and 34 | 218+s fats is associated with arteriosclerosis.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4553	extra	aj	extra, added o crânio completo, foi desenterrado –	EP				o ano tem um dia extra acrescentado cada A Tyrannosaurus Rex skeleton with an intact quatro anos	The year has an extra day cranium was excavated. added to it every four years. 36 | 257-n 35 | 294+n	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4554	bordado	na	embroidered, embroidery	EP				a metodologia científica tem evoluído • enrolava a lã e metia o trabalho no saco de muito nas últimas décadas	Scientific linho bordado – She rolled up the wool and methodology has evolved a great deal in placed it in the embroidered linen bag. recent decades. 35 | 282+f -n 39 | 448+a -f 222	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::na
4555	coesão	nf	cohesion	EP				na eleição houve 12,03% de votos nulos	In • devido a sua grande capacidade de coesão, a the election, 12.03% of the votes were void. cola mantém-nos unidos – Due to its great 37 | 299 +a -s cohesive capacity, the glue keeps them both together.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4556	colonização	nf	colonization, colonizing Baptist Church is the largest Protestant	EP				a Inglaterra foi responsável pela colonização church in North America. da América do Norte	England was 35 | 256+a responsible for the colonization of North America.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4557	proporcional	aj	proportional non-governmental power has been in the	EP				o benefício deve ser proporcional ao tempo hands of a small oligarchy. trabalhado	The benefits should be 43 | 760 proportional to the time worked. 37 | 371+a -f	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4558	psicólogo	nm	psychologist que nos obrigavam a pensar – Those	EP				dizem os psicólogos que as crianças devem questions were so intelligent that they made crescer, tendo um animal por perto	us think. Psychologists say that children should grow 35 | 236 up having an animal close by. 34 | 231	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4559	accionar	v	to activate, put into action intravenosos e eventual cirurgia – The	EP				a acção oscilatória pode ser utilizada para treatment consists of an infusion of accionar bombas	Oscillatory action can be intravenous liquids and eventual surgery. utilized to activate bombs. 37 | 269 35 | 246	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4560	recair	v	to go back to, revert to	EP				meu temperamento não combinava com a • a casa recaía no silêncio, o menino rigidez do exército	My temperament didn’t embrulhava-se nos cobertores – The house work with the discipline of the army. went back to being silent; the boy wrapped 34 | 281+f -n himself in his covers. 35 | 235-s	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4561	equívoco	nm	error, equivocal meio de solucionar as disputas – Arbitration	EP				é um equívoco reduzir a liberalização is preferable to conflict as a means to resolve comercial ao neoliberalismo	It is an disputes. error to reduce commercial liberalization to 38 | 376 neo-liberalism. 35 | 235	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4562	desconto	nm	discount Dom Pedro deveria ocupar o trono – By	EP				os empreiteiros estão dando um desconto decree of the deceased monarch, Dom Pedro de 21%	The contractors are giving a 21% was to assume the throne. discount. 34 | 212 35 | 361+n	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4563	espinho	nm	thorn	EP				as relações raciais sul-africanas foram alvo • um espinho da rosa me arranhava a pele	de furiosas críticas – South African racial A rose thorn was scratching my skin. relations were the target of sharp criticisms. 37 | 276-n 37 | 343+f -a -s	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4564	espinha	nf	spine, fish bone, acne	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4565	esqueleto	nm	skeleton 38 | 628+a -f -s	EP				um esqueleto de Tyrannosaurus rex, com		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4566	metodologia	nf	methodology	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4567	teclado	nm	keyboard	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4568	condicionado	aj	conditioned	EP				os motéis tornaram-se mais sofisticados,		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4569	corrector	nm	broker, agent 35 | 234-s	EP				o corretor liquidaria logo que a perda atingisse		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4570	artilharia	nf	artillery	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4571	tubarão	nm	shark	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4572	comunhão	nf	communion 35 | 448	EP				através dele, o ofertante procura entrar em		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4573	abraço	nm	embrace, hug 38 | 291+a -f -s	EP				meu pai, dê-me um abraço e um beijo,		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4574	rim	nm	kidney 36 | 283-s	EP				cada quatro minutos circula pelo rim todo o sangue do nosso corpo	Every four minutes,	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4575	fracção	nf	fraction, bit	EP				cada utilizador possui o uso exclusivo do		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4576	editorial	na	editorial	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::na
4577	resgate	nm	rescue, ransom	EP				várias equipes de resgate foram enviadas		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4578	mercê	nf	(a m. de) at the mercy of	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4579	marechal	nm	marshal	EP				o pianista corria as mãos pelo teclado e • os generais podem ser distinguidos com o tocava uma valsa	The pianist ran his hands título honorífico de marechal – Generals up and down the keyboard, playing a waltz. can be distinguished by the honorific title of 35 | 209 marshal. 35 | 312+a -s	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4580	balão	nm	balloon com ar condicionado, piscinas e televisão –	EP				ele fá-lo-ia explodir como um balão de circo The motels became more sophisticated, with picado por um alfinete	He will make it air conditioning, pools, and TV. explode like a circus balloon poked with a 35 | 230 pin.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4581	tremer	v	to shake, tremble dois mil florins – As soon as his losses reached	EP				José arrepiou-se, tremeram-lhe as pernas	2,000 florins, the broker would sell. José got goose bumps, his legs shook. 37 | 279 35 | 771+f -a -n -s	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4582	milénio	nm	millennium	EP				também os da fortaleza dispararam algumas • eles acreditam que Jesus irá regressar, no peças de artilharia	Those in the fortress próximo milénio – They believe that Christ also shot some artillery shells. will return in the next millennium. 38 | 276 36 | 215	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4583	reajuste	nm	adjustment (income) [BP]	EP				quem tem dentes, entre os peixes, é só o • o reajuste salarial prometido aos em tubarão	The shark alone, among the fish, pregados de mesa não foi cumprido – The has teeth. salary adjustment that was promised to other 33 | 242 waiters never came about.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4584	aquecimento	nm	warming, heating comunhão com o Ser Supremo – Through	EP				o El Niño é causado por um aquecimento it, the giver seeks to enter into communion das águas do Oceano Pacífico	El Nino is with the Supreme Being. caused by the warming of the waters of the 35 | 230-n Pacific Ocean.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4585	torturar	v	to torture porque ainda os mereço – My father, give me	EP				a polícia secreta torturou o escritor durante a hug and a kiss, because I still deserve them. anos	The secret police tortured the writer 36 | 297+f -a for years.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4586	afogar	v	to drown, flood all of the blood in our body circulates through	EP				nada se perdeu, ninguém se afogou, mas our kidneys. todos se molharam	Nothing got lost, no one drowned, but everyone did get wet. 35 | 232 39 | 339	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4587	estragar	v	to ruin, go bad, spoil computador apenas por uma fracção de	EP				ela acha que a gravidez irá estragar-lhe o segundo	Each user has the exclusive use of corpo – She thinks that the pregnancy will the computer for barely a fraction of a second. ruin her body. 35 | 285 36 | 315+f -a -n	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4588	alinhado	aj	aligned	EP				o mercado editorial brasileiro não quer este • a conjunção planetária ocorre quando um tipo de publicação	The Brazilian editorial planeta está alinhado com outro – Planetary market doesn’t want this type of publication. line-ups occur when one planet is aligned 35 | 261+n with another. 36 | 293	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4589	charuto	nm	cigar para a região atingida pelo tremor de terra –	EP				eu gosto de fumar um bom charuto depois Several rescue teams were sent to the region do jantar	I like to smoke a good cigar after affected by the earthquake. dinner. 35 | 241 35 | 283+f -a	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4590	nora	nf	daughter-in-law	EP				este incidente colocou a Dinamarca à mercê • enquanto fui sogra, nunca tive boa nora	da França – This incident put Denmark at While I was a mother-in-law, I never had a the mercy of France. good daughter-in-law. 36 | 296+f -s 35 | 276	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4591	aposentado	aj	retired [BP]	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4592	consentir	v	to approve, grant	EP				os números são preliminares e ainda não • ali não entrava ninguém que ele não foram auditados	The numbers are consentisse – No one entered in there, preliminary and have still not been audited. whom he didn’t approve. 35 | 276+n 45 | 571	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4593	romantismo	nm	romanticism	EP				a confirmação da teoria foi feita pelo grupo • a carreira de Beethoven atravessou a de cientistas	The confirmation of the passagem do Classicismo para o theory was made by the group of scientists. Romantismo – Beethoven’s career bridged 35 | 235 the passage from classicism to romanticism.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4594	agrupar	v	to group month, the king abdicated the throne, in	EP				pode-se agrupar as rochas da seguinte favor of his brother. forma: sedimentares, eruptivas ou 34 | 211 cristalinas	Rocks can be grouped in the following manner: sedimentary, igneous, or	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4595	narrativo	aj	narrative 35 | 312+a -n -f	EP				normalmente os documentários não têm forma narrativa, são muito sérios		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4596	canhão	nm	cannon 36 | 327+a -s	EP				os marinheiros dispararam tiros de canhão contra a capital	The sailors fired cannon	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4597	sanguíneo	aj	relating to blood	EP				o sangue circula num estado fluido, no		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4598	bandeirante	nm	bandeirante (frontiersmen)	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4599	atlântico	na	Atlantic (ocean)	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::na
4600	reputação	nf	reputation	EP				o Império Bizantino caiu em poder • ele ascendeu ao cargo com a reputação de muçulmano com a tomada de homem honesto	He rose to the position Constantinopla – With the seizure of with the reputation of being an honest man. Constantinople, the Byzantine Empire fell 35 | 251-s under Muslim rule. 35 | 244	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4601	saudar	v	to greet, salute	EP				Rafael era popular entre eles; saudavam-no		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4602	traçado	na	drawn out, planned, plan	EP				“quero receber meu dinheiro”, dizia o • o plano está traçado, agora vamos ao rumo aposentado, Miguel, 70 anos	“I want to – The plan has been drawn up, now let’s receive my money,” said the retired man, follow it. Michael, 70 years old. 34 | 229 34 | 337	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::na
4603	preliminar	aj	preliminary	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4604	confirmação	nf	confirmation	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4605	abdicar	v	to abdicate 35 | 250+a -n	EP				no mês seguinte, o rei abdicava do trono, em favor do seu irmão	In the following	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4606	diferir	v	to differ, be different from metamorphic.	EP				achas que este disco difere radicalmente dos 35 | 318+a -n -s anteriores?	Do you think this record differs radically from previous ones?	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4607	escocês	na	Scottish Normally, documentaries are not in narrative	EP				o uísque escocês é, normalmente, uma format; they are very serious. mistura de duas ou mais qualidades	35 | 227 Scotch whiskey is usually a mix of two or more types.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::na
4608	curiosamente	av	curiously shots toward the capital.	EP				as moças olharam-me curiosamente	37 | 273-n -s The girls looked at me curiously. 34 | 249+n	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::av
4609	ídolo	nm	idol interior dos vasos sanguíneos – Blood	EP				ele é um dos grandes heróis nacionais da circulates in a fluid state inside blood Argentina e um ídolo	He is one of the veins. great national heroes of Argentina and an idol. 38 | 422+a -n -s 34 | 200+s	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4610	grosseiro	aj	crude, coarse, rude [BP]	EP				era uma habitação grosseira, quase • os bandeirantes foram, pois, uma tropa de perdida na mata, onde repousavam os choque a serviço do colonialismo	The tropeiros – It was a crude building, almost bandeirantes were, therefore, a shock troop lost in the jungle, which the herdsmen used at the service of colonialism. to rest in. 36 | 282 35 | 278+f -n	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4611	serpente	nf	snake, serpent	EP				estas ilhas estão ou no oceano Atlântico ou • a anaconda é a maior serpente do mundo	no oceano Etiópico – These islands are The anaconda is the biggest snake in the found either in the Atlantic Ocean or in the world. Ethiopian Ocean. 36 | 273-n -s 36 | 265+a	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4612	tomada	nf	seizure, socket	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4613	terno	na	suit [BP], tender, kindly [EP] quando o viam – Rafael was popular	EP				ele estava com um terno azul-marinho e uma among them; they greeted him when they gravata vermelha bem fina	He was dressed saw him. in a sea blue suit and a very nice red tie. 36 | 313+f -a -s 35 | 335+f -a -n 224	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::na
4614	civilizado	aj	civilized	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4615	anotar	v	to write down, annotate	EP				não lhe ocorreu anotar a placa do carro;		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4616	desdobrar	v	to unfold	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4617	progredir	v	to progress	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4618	montado	aj	mounted, assembled	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4619	furtar	v	to steal	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4620	contributo	nm	contribution [EP]	EP				este grupo parlamentar deu um contributo		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4621	precoce	aj	premature, precocious	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4622	pardo	aj	mulatto, off-white 37 | 276+n -s	EP				apenas 0,6% de negros e pardos tinham		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4623	poste	nm	pole, vertical post	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4624	milionário	nm	millionaire	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4625	panela	nf	pot, pan	EP				a panela grande, que cozinhava o feijão,		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4626	hostil	aj	hostile	EP				Tudo isso era contra as boas normas de um • papai devia ter sentido o ambiente povo civilizado	All this went against the hostil, todo mundo de cara séria – Daddy norms of a civilized people. must have sensed the hostile atmosphere, 35 | 205 being that everybody had such a serious face. 36 | 230+f	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4627	sudoeste	nm	southwest estava muito nervosa – It didn’t occur to her	EP				o Iraque é um país situado no sudoeste da to write down the license plate number, she Ásia	Iraq is a country situated in the was very nervous. southwest part of Asia. 34 | 213 35 | 423+a -f -s	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4628	cavalaria	nf	cavalry	EP				este, ao desdobrar a meia folha de papel, • além de um regimento de cavalaria havia também uma força auxiliar	Aside from a tornou-se lívido – This man, upon unfolding regiment of cavalry, there was also an the half-sheet of paper, became livid. auxiliary force. 36 | 263+f -n 35 | 262	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4629	bonde	nm	streetcar [BP]	EP				a doença pode progredir para eclâmpsia, se • no Porto um bonde elétrico foi de encontro não for tratada	The disease can progress to a um carro de bois [BP] – In Porto, a eclampsia if not treated. streetcar collided with an ox-drawn cart. 34 | 208 36 | 448	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4630	exagero	nm	exaggeration	EP				já montado em seu cavalo, ele disse aos • no que o doutor disse há exagero, mas amigos um adeus	Already mounted on his também há verdade – There is exaggeration horse, he said goodbye to his friends. in what the doctor said, but there is also truth. 35 | 204 34 | 238-a	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4631	liquidar	v	to pay off (debt), liquidate	EP				o macaco furtou a navalha do barbeiro	• ainda tenho que pagar 119 mil reais para The monkey stole the razor from the barber. liquidar o débito – I still have to pay 119 36 | 281-s thousand reals to pay off the debt. 34 | 227	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4632	rosado	aj	rosy, pink decisivo para a estabilidade política [EP] –	EP				o seu rosto, habitualmente rosado, tornou-se This parliamentary group made a decisive lívido	His face, generally rosy, became contribution to political stability. livid. 37 | 247 36 | 258	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4633	referido	aj	above-mentioned, referred	EP				um acidente de trabalho atirou-o para uma • o modelo formulado pelo referido autor invalidez precoce	A work accident sent considerou as seguintes variáveis – The him into premature disability. model put together by the above-mentioned author took into consideration the following 35 | 218 variables.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4634	brisa	nf	breeze obtido um diploma de nível superior – Only	EP				a brisa soprou mais forte, esparramando o 0.6% of blacks and mulattoes had obtained a pó pela varanda	The breeze blew stronger, college degree. scattering the dust about the porch. 36 | 267-n -s 35 | 262-a	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4635	internado	aj	hospitalized	EP				esses índios esculpiam postes de madeira • ela passou uns três meses internada no com desenhos de animais	Those Indians hospital português – She spent about three sculpted totem poles from wood, with animal months hospitalized in the Portuguese designs. hospital. 34 | 210 35 | 256+n	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4636	convocação	nf	convocation, gathering	EP				os nossos milionários e políticos não pagam • foi responsável pela convocação da primeira os impostos	Our millionaires and conferência pan-americana – He was politicians don’t pay taxes. responsible for the convocation of the first 34 | 237 Pan-American conference. 34 | 274+n	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4637	adjectivo	nm	adjective estava no fogo – The large pot, in which the	EP				no verso são frequentes muitos adjectivos beans were cooking, was on the stove. compostos	In verse, compound adjectives 34 | 244 are frequent. 36 | 378	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4638	trajecto	nm	route, distance, stretch	EP						4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4639	chefiar	v	to head, lead of galaxies.	EP				a rebelião foi chefiada pelo ex-imperador 36 | 264-n -s	The rebellion was headed up by the ex-emperor.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4640	vocabulário	nm	vocabulary myself into an abyss with no way out where I	EP				a palavra deveria ser eliminada de nosso shall remain forever entombed. vocabulário	That word ought to be 35 | 295+f -a eliminated from our vocabulary. 34 | 198	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4641	coerência	nf	coherence de seus alunos – Teachers ought to follow up	EP				a maioria não mostrava grande coerência on their students’ learning. interna, tampouco consistência	Most 34 | 292 didn’t show much internal coherence, let alone consistency.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4642	aspirar	v	to aspire to, inhale authority was tolerated.	EP				é o ideal a que os seres humanos deveriam 35 | 222+n aspirar	That is the ideal human beings should aspire to.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4643	multinacional	na	international corporation disbursement of the checks.	EP				a multinacional já é a maior importadora de 37 | 297 soja brasileira	The multinational corporation is already the largest importer of	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::na
4644	homenagear	v	to pay homage to, honor any murder.	EP				omuseu procura homenagear a artista	The 40 | 325+n -f -s Museum seeks to pay homage to the artist.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4645	asilo	nm	asylum sombra da papaieira – There they were on	EP				ele garantiu que sairia do país e aceitaria o the porch in front of the house in the shade asilo oferecido pela Nigéria	He guaranteed of the papaya tree. that he would leave the country and would 35 | 258 accept the asylum offered by Nigeria.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4646	ceia	nf	supper, dinner estabilidade – To guarantee the establish-	EP				Leonardo da Vinci pintou a Última Ceiaentre ment of a new model of stability. 1495 e 1497	Leonardo da Vinci painted 35 | 256+a -f The Last Supperbetween 1495 and 1497.	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4647	moradia	nf	dwelling went on telling his tales of bravery and heroic	EP				as novas casas são moradias unifamiliares, feats at war. com dois quartos	The new houses are single-family dwellings with two rooms. 35 | 244-n 35 | 210	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4648	nordestino	na	northeastern, northeasterner simuladores – The astronauts practiced for [BP] the mission in simulators.	EP				como nos demais estados nordestinos, a 33 | 241 população maranhense também enfrenta problemas	Like those from other	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::na
4649	apelido	nm	nickname [BP], family name [EP]	EP				a partir de 1898, passou a usar o apelido		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4650	celeste	aj	heavenly	EP				é esse o trajecto a percorrer	This is the • o segundo telescópio analisará outros corpos route to be traveled. celestes, como determinados tipos de 34 | 227 galáxias – The second telescope will analyze other heavenly bodies, such as certain types	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4651	abismo	nm	abyss 36 | 275+a -f -s	EP				atirei-me num abismo sem saída, no qual devo ficar para sempre sepultado	I threw	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4652	aprendizado	nm	the act of learning [BP]	EP				o professor deve acompanhar o aprendizado		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4653	contestação	nf	challenge	EP				nenhuma contestação à autoridade do rei 34 | 212 era tolerada	No challenge to the king’s	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4654	liberação	nf	disbursement, absolving [BP]	EP				o passo seguinte será a liberação dos 36 | 226+f cheques	The next step will be the	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
4655	homicídio	nm	murder, homicide	EP				não tenho a índole de matar, não cometi Brazilian soy. nenhum homicídio	I don’t have the 35 | 287+n -f inclination to kill; I have never committed	4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4656	terraço	nm	porch, patio, balcony 35 | 288+n -f	EP				estavam no terraço em frente à casa, na		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
4657	fixação	nf	stability, settlement 35 | 225	EP				garantir a fixação de um novo modelo de		4501-5000		freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.fem
